Question,A,B,C,D,Correct Answer
What is the capital of France?,Berlin,Madrid,Paris,Rome,C
How many sides does a hexagon have?,4,5,6,8,C
Which planet is known as the Red Planet?,Venus,Mars,Jupiter,Saturn,B
What year did World War II end?,1943,1944,1945,1946,C
Who painted the Mona Lisa?,Michelangelo,Raphael,Leonardo da Vinci,Donatello,C
What is the chemical symbol for gold?,Go,Gd,Au,Ag,C
How many bones are in the adult human body?,196,206,216,226,B
What is the largest ocean on Earth?,Atlantic,Indian,Arctic,Pacific,D
Which country invented pizza?,France,Greece,Italy,Spain,C
What is 7 multiplied by 8?,54,56,58,62,B
